"","source","country","scientific_name","status"
"92","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Switzerland","Acer platanoides","native"
"93","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer platanoides L.)","Tajikistan","Acer platanoides","native"
"99","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer pseudoplatanus L.)","Denmark","Acer pseudoplatanus","native"
"100","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer pseudoplatanus L.)","France","Acer pseudoplatanus","native"
"102","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer pseudoplatanus L.)","Germany","Acer pseudoplatanus","native"
"108","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer pseudoplatanus L.)","Portugal","Acer pseudoplatanus","native"
"111","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer pseudoplatanus L.)","Spain","Acer pseudoplatanus","native"
"113","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Acer pseudoplatanus L.)","Ukraine","Acer pseudoplatanus","native"
"133","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Achillea millefolium L.)","France","Achillea millefolium","native"
"156","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Achillea millefolium L.)","Portugal","Achillea millefolium","native"
"162","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Achillea millefolium L.)","Spain","Achillea millefolium","native"
"163","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Achillea millefolium L.)","Sweden","Achillea millefolium","native"
"168","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Achillea millefolium L.)","United States","Achillea millefolium","native"
"172","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Rhaponticum repens (L.) Hidalgo)","Cyprus","Acroptilon repens","native"
"186","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Rhaponticum repens (L.) Hidalgo)","Ukraine","Acroptilon repens","native"
"188","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Australia","Adenanthera pavonina","native"
"192","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","India","Adenanthera pavonina","native"
"193","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Indonesia","Adenanthera pavonina","native"
"195","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Malaysia","Adenanthera pavonina","native"
"196","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Myanmar","Adenanthera pavonina","native"
"197","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Papua New Guinea","Adenanthera pavonina","native"
"198","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Solomon Islands","Adenanthera pavonina","native"
"199","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adenanthera pavonina L.)","Sri Lanka","Adenanthera pavonina","native"
"213","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Adonis vernalis L.)","Serbia","Adonis vernalis","native"
"220","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegilops bicornis (Forssk.) Jaub. & Spach)","Egypt","Aegilops bicornis","native"
"228","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegilops cylindrica Host)","Bulgaria","Aegilops cylindrica","native"
"235","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegilops cylindrica Host)","Israel","Aegilops cylindrica","native"
"255","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegilops tauschii Coss.)","China","Aegilops tauschii","native"
"278","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegopodium podagraria L.)","Denmark","Aegopodium podagraria","native"
"281","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegopodium podagraria L.)","France","Aegopodium podagraria","native"
"294","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Aegopodium podagraria L.)","Norway","Aegopodium podagraria","native"
"325","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agropyron cristatum (L.) Gaertn.)","Kazakhstan","Agropyron cristatum","native"
"350","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Albania","Agrostis capillaris","native"
"351","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Armenia","Agrostis capillaris","native"
"352","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Austria","Agrostis capillaris","native"
"353","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Azerbaijan","Agrostis capillaris","native"
"354","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Belarus","Agrostis capillaris","native"
"355","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Belgium","Agrostis capillaris","native"
"356","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Bulgaria","Agrostis capillaris","native"
"357","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","China","Agrostis capillaris","native"
"359","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Czech Republic","Agrostis capillaris","native"
"360","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Denmark","Agrostis capillaris","native"
"361","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Estonia","Agrostis capillaris","native"
"362","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Finland","Agrostis capillaris","native"
"363","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","France","Agrostis capillaris","native"
"364","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Georgia","Agrostis capillaris","native"
"365","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Germany","Agrostis capillaris","native"
"366","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Greece","Agrostis capillaris","native"
"367","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Hungary","Agrostis capillaris","native"
"369","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Ireland","Agrostis capillaris","native"
"370","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Italy","Agrostis capillaris","native"
"371","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Kazakhstan","Agrostis capillaris","native"
"372","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Latvia","Agrostis capillaris","native"
"373","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Lithuania","Agrostis capillaris","native"
"375","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Netherlands","Agrostis capillaris","native"
"376","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Norway","Agrostis capillaris","native"
"377","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Poland","Agrostis capillaris","native"
"378","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Portugal","Agrostis capillaris","native"
"379","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Romania","Agrostis capillaris","native"
"380","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Russian Federation","Agrostis capillaris","native"
"384","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Spain","Agrostis capillaris","native"
"385","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Sweden","Agrostis capillaris","native"
"386","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Switzerland","Agrostis capillaris","native"
"387","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Tunisia","Agrostis capillaris","native"
"388","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Turkey","Agrostis capillaris","native"
"389","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","Ukraine","Agrostis capillaris","native"
"390","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis capillaris L.)","United Kingdom","Agrostis capillaris","native"
"404","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis gigantea Roth)","Czech Republic","Agrostis gigantea","native"
"408","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis gigantea Roth)","France","Agrostis gigantea","native"
"415","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis gigantea Roth)","Ireland","Agrostis gigantea","native"
"425","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis gigantea Roth)","Norway","Agrostis gigantea","native"
"438","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Agrostis gigantea Roth)","United Kingdom","Agrostis gigantea","native"
"446","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ailanthus altissima (Mill.) Swingle)","China","Ailanthus altissima","native"
"448","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Akebia quinata (Thunb. ex Houtt.) Decne.)","China","Akebia quinata","native"
"449","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Akebia quinata (Thunb. ex Houtt.) Decne.)","Japan","Akebia quinata","native"
"451","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","Bhutan","Albizia julibrissin","native"
"452","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","China","Albizia julibrissin","native"
"453","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","India","Albizia julibrissin","native"
"455","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","Japan","Albizia julibrissin","native"
"456","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","Myanmar","Albizia julibrissin","native"
"457","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","Nepal","Albizia julibrissin","native"
"458","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Albizia julibrissin Durazz.)","Pakistan","Albizia julibrissin","native"
"487","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alliaria petiolata (M. Bieb.) Cavara & Grande)","Bulgaria","Alliaria petiolata","native"
"500","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alliaria petiolata (M. Bieb.) Cavara & Grande)","India","Alliaria petiolata","native"
"543","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Allium vineale L.)","Finland","Allium vineale","native"
"555","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Allium vineale L.)","Portugal","Allium vineale","native"
"589","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alnus glutinosa (L.) Gaertn.)","Portugal","Alnus glutinosa","native"
"622","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus geniculatus L.)","Canada","Alopecurus geniculatus","native"
"655","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus geniculatus L.)","United States","Alopecurus geniculatus","native"
"665","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus myosuroides Huds.)","France","Alopecurus myosuroides","native"
"667","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus myosuroides Huds.)","Germany","Alopecurus myosuroides","native"
"679","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus myosuroides Huds.)","Portugal","Alopecurus myosuroides","native"
"688","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus myosuroides Huds.)","United Kingdom","Alopecurus myosuroides","native"
"698","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus pratensis L.)","Denmark","Alopecurus pratensis","native"
"700","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus pratensis L.)","Finland","Alopecurus pratensis","native"
"716","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus pratensis L.)","Norway","Alopecurus pratensis","native"
"724","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alopecurus pratensis L.)","Sweden","Alopecurus pratensis","native"
"731","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Argentina","Alternanthera philoxeroides","native"
"732","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Bolivia","Alternanthera philoxeroides","native"
"733","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Brazil","Alternanthera philoxeroides","native"
"736","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Paraguay","Alternanthera philoxeroides","native"
"737","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Peru","Alternanthera philoxeroides","native"
"739","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Uruguay","Alternanthera philoxeroides","native"
"740","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alternanthera philoxeroides (Mart.) Griseb.)","Venezuela","Alternanthera philoxeroides","native"
"750","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alyssum alyssoides (L.) L.)","Estonia","Alyssum alyssoides","native"
"752","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alyssum alyssoides (L.) L.)","Germany","Alyssum alyssoides","native"
"759","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alyssum alyssoides (L.) L.)","Latvia","Alyssum alyssoides","native"
"787","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alyssum desertorum Stapf)","Estonia","Alyssum desertorum","native"
"795","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alyssum desertorum Stapf)","Latvia","Alyssum desertorum","native"
"796","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Alyssum desertorum Stapf)","Lithuania","Alyssum desertorum","native"
"814","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Argentina","Ambrosia artemisiifolia","native"
"815","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Bolivia","Ambrosia artemisiifolia","native"
"816","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Brazil","Ambrosia artemisiifolia","native"
"817","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Canada","Ambrosia artemisiifolia","native"
"818","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Chile","Ambrosia artemisiifolia","native"
"819","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Cuba","Ambrosia artemisiifolia","native"
"820","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Jamaica","Ambrosia artemisiifolia","native"
"821","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Paraguay","Ambrosia artemisiifolia","native"
"822","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Peru","Ambrosia artemisiifolia","native"
"823","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","United States","Ambrosia artemisiifolia","native"
"824","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ambrosia artemisiifolia L.)","Uruguay","Ambrosia artemisiifolia","native"
"832","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Amorpha fruticosa L.)","United States","Amorpha fruticosa","native"
"833","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Ampelopsis glandulosa (Wall.) Momiy. var. brevipedunculata (Maxim.) Momiy.)","China","Ampelopsis brevipedunculata","native"
"847","http://www.ars-grin.gov/cgi-bin/npgs/html/tax_search.pl? native_search.py uploaded on the 17th of Nov (Anagallis arvensis L.)","Czech Republic","Anagallis arvensis","native"
